DifferenceTiming,LaplacianTiming

0.00403094291687,0.0681829452515
0.0040979385376,0.0661840438843
0.00681805610657,0.0667338371277
0.00412201881409,0.0674111843109
0.00399398803711,0.0662372112274
0.00408887863159,0.066330909729
0.00412011146545,0.0697040557861
0.00406885147095,0.0711419582367
0.00398588180542,0.0683779716492
0.00427794456482,0.0671999454498
0.00403189659119,0.0663750171661
0.00730299949646,0.0682559013367
0.00399303436279,0.069610118866
0.00418305397034,0.0682258605957
0.00425410270691,0.0695290565491
